iter	Passed	Remaining
402	10158	15048
403	10179	15017
404	10203	14989
405	10225	14960
406	10247	14931
407	10268	14899
408	10290	14869
409	10313	14841
410	10334	14810
411	10358	14783
412	10379	14753
413	10405	14728
414	10427	14699
415	10449	14669
416	10469	14637
417	10491	14607
418	10514	14579
419	10534	14547
420	10554	14514
421	10575	14485
422	10598	14457
423	10618	14425
424	10639	14394
425	10661	14365
426	10685	14338
427	10708	14310
428	10730	14281
429	10752	14252
430	10773	14223
431	10796	14195
432	10820	14168
433	10842	14140
434	10864	14111
435	10886	14082
436	10909	14054
437	10929	14023
438	10948	13991
439	10970	13962
440	10992	13933
441	11015	13905
442	11038	13878
443	11061	13851
444	11082	13821
445	11105	13794
446	11128	13768
447	11152	13741
448	11172	13711
449	11193	13680
450	11215	13652
451	11240	13627
452	11265	13603
453	11286	13574
454	11307	13544
455	11326	13512
456	11346	13481
457	11369	13454
458	11391	13426
459	11413	13398
460	11434	13368
461	11457	13341
462	11477	13311
463	11500	13284
464	11527	13262
465	11549	13234
466	11571	13206
467	11594	13179
468	11613	13149
469	11633	13118
470	11652	13087
471	11671	13056
472	11692	13027
473	11713	12998
474	11733	12968
475	11754	12940
476	11780	12916
477	11804	12890
478	11827	12864
479	11850	12837
480	11871	12809
481	11891	12779
482	11913	12752
483	11934	12723
484	11956	12695
485	11977	12667
486	11999	12640
487	12020	12611
488	12041	12583
489	12066	12558
490	12091	12534
491	12111	12505
492	12131	12476
493	12153	12448
494	12180	12426
495	12201	12398
496	12223	12371
497	12246	12344
498	12270	12319
499	12292	12292
500	12313	12264
501	12337	12239
502	12357	12210
503	12379	12183
504	12401	12156
505	12422	12127
506	12442	12099
507	12463	12070
508	12484	12043
509	12505	12015
510	12528	11988
511	12550	11962
512	12572	11935
513	12596	11910
514	12617	11882
515	12637	11853
516	12660	11827
517	12682	11801
518	12702	11772
519	12724	11745
520	12744	11717
521	12767	11691
522	12788	11663
523	12810	11637
524	12834	11612
525	12855	11584
526	12877	11558
527	12901	11533
528	12922	11505
529	12945	11479
530	12966	11452
531	12988	11426
532	13008	11397
533	13030	11371
534	13051	11343
535	13075	11318
536	13098	11293
537	13120	11266
538	13140	11238
539	13163	11213
540	13187	11188
541	13208	11161
542	13230	11134
543	13253	11109
544	13274	11082
545	13296	11056
546	13316	11028
547	13337	11000
548	13359	10975
549	13380	10947
550	13401	10920
551	13421	10893
552	13444	10867
553	13467	10841
554	13491	10817
555	13515	10792
556	13535	10765
557	13555	10737
558	13580	10713
559	13601	10687
560	13623	10660
561	13644	10634
562	13665	10607
563	13685	10579
564	13705	10551
565	13725	10524
566	13744	10496
567	13766	10470
568	13788	10444
569	13810	10418
570	13832	10392
571	13855	10367
572	13875	10340
573	13899	10315
574	13925	10292
575	13947	10267
576	13969	10240
577	13991	10215
578	14013	10189
579	14035	10163
580	14057	10137
581	14079	10112
582	14100	10085
583	14124	10060
584	14147	10036
585	14169	10010
586	14189	9983
587	14211	9957
588	14240	9937
589	14265	9913
590	14289	9888
591	14310	9862
592	14333	9837
593	14353	9810
594	14373	9783
595	14395	9758
596	14417	9732
597	14443	9709
598	14465	9683
599	14486	9657
600	14508	9632
601	14530	9606
602	14550	9579
603	14573	9554
604	14595	9529
605	14619	9505
606	14640	9479
607	14665	9455
608	14687	9429
609	14712	9406
610	14735	9381
611	14757	9355
612	14777	9329
613	14798	9303
614	14818	9276
615	14839	9250
616	14862	9225
617	14881	9198
618	14902	9172
619	14922	9146
620	14943	9119
621	14963	9093
622	14984	9067
623	15011	9045
624	15032	9019
625	15056	8995
