iter	Logloss
0	0.6840302752
1	0.6751225338
2	0.6663456425
3	0.6577595533
4	0.6493372292
5	0.6411054246
6	0.6330074658
7	0.6250751093
8	0.6173194382
9	0.609704749
10	0.6022614086
11	0.594960854
12	0.5877928124
13	0.5807681878
14	0.5738858592
15	0.5671576635
16	0.5606703066
17	0.5542000949
18	0.5478982267
19	0.5416800264
20	0.5355879802
21	0.5296209435
22	0.5237893447
23	0.518081658
24	0.5124660468
25	0.5069670562
26	0.5016493482
27	0.4963610461
28	0.4911943528
29	0.486123946
30	0.4811589588
31	0.4763062871
32	0.4715437267
33	0.4668816026
34	0.4623339983
35	0.45786172
36	0.4534668685
37	0.4491764333
38	0.444970608
39	0.4408423649
40	0.4368038139
41	0.4328409423
42	0.428955893
43	0.4251567772
44	0.4214230723
45	0.4177745943
46	0.4141994546
47	0.4107046385
48	0.4072760576
49	0.4039104195
50	0.4006124909
51	0.3974087717
52	0.3942408643
53	0.3911925921
54	0.3881561237
55	0.3851828948
56	0.3822641539
57	0.379405459
58	0.3766062307
59	0.3738598936
60	0.3711653219
61	0.3685283846
62	0.3659498919
63	0.3634158024
64	0.360938377
65	0.3585083601
66	0.3561326333
67	0.3537965478
68	0.3515070182
69	0.3492857964
70	0.3470829774
71	0.3449271759
72	0.3428127632
73	0.3407380201
74	0.3387114532
75	0.336720001
76	0.3347954106
77	0.3328840795
78	0.3310246127
79	0.3291891115
80	0.3273867045
81	0.3256219651
82	0.3238892506
83	0.3221884432
84	0.3205247288
85	0.3188908349
86	0.3173126301
87	0.3157417685
88	0.3142274461
89	0.3127137644
90	0.3112351573
91	0.3097814038
92	0.3083539428
93	0.3069498798
94	0.3055764546
95	0.3042327579
96	0.3029108178
97	0.3016147864
98	0.3003466088
99	0.2991008661
100	0.2978800853
101	0.2966789367
102	0.2955080348
103	0.2943534092
104	0.2932280034
105	0.2921180072
106	0.2910290915
107	0.2899644737
108	0.2889170834
109	0.2878884117
110	0.2868753284
111	0.2858879536
112	0.2849185176
113	0.2839680121
114	0.2830324993
115	0.2821121863
116	0.2812066682
117	0.2803273037
118	0.2794595922
119	0.278608701
120	0.2777742108
121	0.2769515739
122	0.2761450766
123	0.2753546176
124	0.2745788169
125	0.2738216663
126	0.2730744567
127	0.2723424234
128	0.2716226744
129	0.2709161423
130	0.2702214329
131	0.2695426935
132	0.2688754047
133	0.2682327103
134	0.267586992
135	0.2669550016
136	0.2663338213
137	0.2657227985
138	0.2651227953
139	0.264534238
140	0.2639573267
141	0.2633895438
142	0.2628339558
143	0.2622868908
144	0.2617495949
145	0.2612214675
146	0.2607044562
147	0.2601969502
148	0.2596985184
149	0.2592062499
150	0.2587282134
151	0.2582547411
152	0.2577916266
153	0.2573377159
154	0.2568886874
155	0.2564464792
156	0.2560167084
157	0.2555902325
158	0.255170949
159	0.2547604525
160	0.254357026
161	0.253960135
162	0.2535703541
163	0.2531858769
164	0.2528101631
165	0.2524411024
166	0.2520862196
167	0.2517301781
168	0.2513795085
169	0.2510337777
170	0.25069539
171	0.2503634201
172	0.250036191
173	0.2497146708
174	0.2493993091
175	0.2490898894
176	0.2487861503
177	0.2484860804
178	0.2481930122
179	0.2479039431
180	0.2476170477
181	0.2473380867
182	0.2470636146
183	0.2467927387
184	0.2465293991
185	0.2462675057
186	0.2460169238
187	0.2457647899
188	0.2455141468
189	0.2452691254
190	0.2450319441
191	0.2447950219
192	0.2445639428
193	0.2443384994
194	0.244114707
195	0.2438944236
196	0.2436761987
197	0.2434629807
198	0.2432551018
199	0.2430515045
200	0.2428502317
201	0.2426600632
202	0.2424652693
203	0.2422746981
204	0.2420862324
205	0.241900289
206	0.2417174803
207	0.241539794
208	0.2413628919
209	0.2411890844
210	0.2410187648
211	0.240849644
212	0.2406847978
213	0.2405232699
214	0.2403632728
215	0.2402062738
216	0.2400510246
217	0.2399000193
218	0.2397505402
219	0.2396019701
220	0.2394571471
221	0.239315892
222	0.239175473
223	0.2390376729
224	0.2389013517
225	0.2387679321
226	0.2386380829
227	0.23850809
228	0.2383817404
229	0.2382568204
230	0.2381349244
231	0.2380146251
232	0.2378971496
233	0.2377811155
234	0.2376673469
235	0.237555983
236	0.2374447627
237	0.23733549
238	0.2372282499
239	0.2371234284
240	0.2370213719
241	0.2369185594
242	0.2368182762
243	0.2367186878
244	0.2366215064
245	0.236524332
246	0.2364315075
247	0.2363402091
248	0.2362490332
249	0.236159845
250	0.2360719333
251	0.2359857054
252	0.2359014936
253	0.2358168672
254	0.2357347114
255	0.2356515688
256	0.2355706541
257	0.2354921063
258	0.2354149316
259	0.2353385905
260	0.2352647153
261	0.2351912169
262	0.235119115
263	0.2350469943
264	0.2349765269
265	0.2349089092
266	0.2348395817
267	0.2347727271
268	0.2347069676
269	0.2346421218
270	0.2345775705
271	0.2345143521
272	0.2344529048
273	0.2343924255
274	0.2343326715
275	0.2342735322
276	0.2342156223
277	0.2341585437
278	0.2341008034
279	0.2340456395
280	0.2339910739
281	0.2339381639
282	0.2338850466
283	0.2338336062
284	0.233783268
285	0.233733608
286	0.2336837714
287	0.2336366974
288	0.2335889498
289	0.2335422973
290	0.2334952374
291	0.2334488558
292	0.233404436
293	0.2333608664
294	0.2333166656
295	0.2332740686
296	0.2332326727
297	0.2331908106
298	0.2331504463
299	0.2331088102
300	0.2330692254
301	0.2330306086
302	0.2329916762
303	0.2329530099
304	0.232915898
305	0.232880357
306	0.2328445851
307	0.2328097977
308	0.2327754837
309	0.2327408612
310	0.232705737
311	0.2326727984
312	0.2326388753
313	0.2326060191
314	0.232574185
315	0.2325432294
316	0.2325127895
317	0.2324822625
318	0.2324525951
319	0.2324229584
320	0.2323941836
321	0.2323659975
322	0.2323385157
323	0.232310829
324	0.2322819459
325	0.2322553943
326	0.2322293161
327	0.2322035912
328	0.2321774235
329	0.2321519105
330	0.2321270335
